,Age,Sex,Job,Housing,Saving accounts,Credit amount,JK,House,Sosial
1,22,female,2,own,little,tinggi,0,1,0
2,49,male,1,own,little,rendah,1,1,0
3,45,male,2,free,little,tinggi,1,0,0
4,53,male,2,free,little,tinggi,1,0,0
6,53,male,2,own,quite rich,rendah,1,1,2
7,35,male,3,rent,little,tinggi,1,2,0
8,61,male,1,own,rich,rendah,1,1,3
9,28,male,3,own,little,tinggi,1,1,0
10,25,female,2,rent,little,rendah,0,2,0
11,24,female,2,rent,little,tinggi,0,2,0
12,22,female,2,own,little,rendah,0,1,0
13,60,male,1,own,little,rendah,1,1,0
14,28,female,2,rent,little,rendah,0,2,0
15,32,female,1,own,moderate,rendah,0,1,1
18,44,female,3,free,little,tinggi,0,0,0
19,31,male,2,own,quite rich,tinggi,1,1,2
20,48,male,2,own,little,rendah,1,1,0
21,44,male,2,rent,quite rich,rendah,1,2,2
22,48,male,1,rent,little,rendah,1,2,0
23,44,male,2,own,moderate,rendah,1,1,1
25,36,male,1,own,little,rendah,1,1,0
26,39,male,1,own,little,rendah,1,1,0
27,42,female,2,rent,rich,rendah,0,2,3
28,34,male,2,own,little,rendah,1,1,0
29,63,male,2,own,little,tinggi,1,1,0
30,36,male,2,own,rich,rendah,1,1,3
31,27,male,2,own,little,tinggi,1,1,0
32,30,male,2,own,moderate,tinggi,1,1,1
34,33,female,3,own,little,rendah,0,1,0
35,25,male,1,own,little,tinggi,1,1,0
36,31,male,2,free,little,tinggi,1,0,0
37,37,male,2,own,little,rendah,1,1,0
38,37,male,2,own,little,rendah,1,1,0
39,24,male,2,own,little,rendah,1,1,0
40,30,male,3,own,quite rich,rendah,1,1,2
41,26,male,2,own,quite rich,rendah,1,1,2
42,44,male,1,own,little,tinggi,1,1,0
43,24,male,2,rent,moderate,tinggi,1,2,1
44,58,female,1,free,little,tinggi,0,0,0
45,35,female,3,own,little,rendah,0,1,0
46,39,male,2,own,quite rich,rendah,1,1,2
47,23,female,0,rent,quite rich,rendah,0,2,2
48,39,male,1,own,little,tinggi,1,1,0
49,28,female,2,own,moderate,rendah,0,1,1
51,30,male,3,own,little,tinggi,1,1,0
52,25,male,2,own,little,rendah,1,1,0
54,57,male,2,free,little,rendah,1,0,0
57,31,female,2,own,little,tinggi,0,1,0
58,23,female,3,own,little,rendah,0,1,0
59,23,female,1,rent,little,tinggi,0,2,0
60,27,male,2,own,little,rendah,1,1,0
62,61,male,3,free,little,rendah,1,0,0
63,25,male,2,own,little,tinggi,1,1,0
64,26,female,2,own,little,tinggi,0,1,0
66,29,female,2,own,little,rendah,0,1,0
67,22,male,2,own,rich,rendah,1,1,3
68,37,male,2,free,little,rendah,1,0,0
70,30,female,2,own,little,tinggi,0,1,0
72,51,male,3,free,little,rendah,1,0,0
73,41,female,1,own,little,tinggi,0,1,0
75,66,male,3,free,little,rendah,1,0,0
76,34,male,2,own,little,tinggi,1,1,0
77,51,male,2,own,little,tinggi,1,1,0
79,22,male,2,own,little,tinggi,1,1,0
81,47,male,2,own,quite rich,rendah,1,1,2
82,24,female,1,rent,moderate,rendah,0,2,1
83,58,female,1,own,little,rendah,0,1,0
84,52,male,1,own,little,rendah,1,1,0
85,29,female,3,own,little,rendah,0,1,0
86,27,female,2,own,little,rendah,0,1,0
87,47,male,2,free,moderate,tinggi,1,0,1
88,30,male,3,own,moderate,rendah,1,1,1
89,28,male,2,own,little,rendah,1,1,0
90,56,male,2,own,little,rendah,1,1,0
91,54,male,2,own,little,rendah,1,1,0
94,54,male,2,own,rich,rendah,1,1,3
95,58,male,2,rent,little,tinggi,1,2,0
97,34,male,2,own,moderate,rendah,1,1,1
98,36,male,2,own,little,rendah,1,1,0
100,41,male,1,rent,moderate,rendah,1,2,1
101,24,male,2,rent,little,rendah,1,2,0
102,24,female,2,own,little,rendah,0,1,0
103,35,male,2,rent,little,rendah,1,2,0
105,39,male,3,own,little,tinggi,1,1,0
106,39,male,3,own,little,tinggi,1,1,0
107,32,male,2,own,little,tinggi,1,1,0
109,35,male,2,own,quite rich,rendah,1,1,2
110,31,male,2,own,moderate,rendah,1,1,1
111,23,female,2,rent,little,rendah,0,2,0
112,28,male,1,rent,little,tinggi,1,2,0
113,25,female,2,own,little,tinggi,0,1,0
114,35,male,2,own,quite rich,rendah,1,1,2
118,23,female,2,own,quite rich,tinggi,0,1,2
119,36,male,3,own,quite rich,rendah,1,1,2
120,25,female,2,own,little,rendah,0,1,0
121,41,female,3,rent,little,tinggi,0,2,0
122,24,male,1,rent,little,rendah,1,2,0
123,63,male,2,free,little,rendah,1,0,0
125,30,male,2,own,little,rendah,1,1,0
126,40,male,1,own,little,rendah,1,1,0
127,30,male,2,own,little,rendah,1,1,0
128,34,male,3,own,little,rendah,1,1,0
129,29,female,2,own,little,tinggi,0,1,0
131,29,male,2,own,little,tinggi,1,1,0
132,27,male,1,own,little,rendah,1,1,0
133,47,male,2,free,little,rendah,1,0,0
134,21,female,2,own,moderate,tinggi,0,1,1
136,27,male,2,own,rich,tinggi,1,1,3
137,66,male,1,own,quite rich,rendah,1,1,2
139,44,female,1,rent,little,rendah,0,2,0
140,27,male,0,own,rich,rendah,1,1,3
141,30,female,3,own,little,tinggi,0,1,0
142,27,male,3,own,little,tinggi,1,1,0
143,22,male,2,own,little,rendah,1,1,0
144,23,female,2,own,little,rendah,0,1,0
145,30,male,2,own,moderate,tinggi,1,1,1
146,39,female,2,own,little,rendah,0,1,0
147,51,female,2,own,moderate,rendah,0,1,1
148,28,male,2,own,little,tinggi,1,1,0
149,46,male,2,own,rich,rendah,1,1,3
150,42,male,2,free,moderate,rendah,1,0,1
151,38,male,2,own,little,rendah,1,1,0
152,24,male,2,own,little,tinggi,1,1,0
153,29,female,2,rent,rich,tinggi,0,2,3
154,36,male,3,rent,moderate,tinggi,1,2,1
155,20,female,2,rent,little,rendah,0,2,0
156,48,male,2,own,moderate,rendah,1,1,1
157,45,male,1,own,little,rendah,1,1,0
158,38,male,2,own,moderate,tinggi,1,1,1
160,36,male,2,own,moderate,rendah,1,1,1
161,30,female,2,own,little,rendah,0,1,0
162,36,male,2,own,quite rich,rendah,1,1,2
163,70,male,3,free,little,tinggi,1,0,0
164,36,male,2,own,quite rich,rendah,1,1,2
165,32,male,2,own,quite rich,rendah,1,1,2
166,33,female,2,own,little,rendah,0,1,0
167,20,female,2,own,rich,rendah,0,1,3
168,25,female,2,rent,little,tinggi,0,2,0
169,31,male,2,own,little,rendah,1,1,0
170,33,male,2,rent,little,rendah,1,2,0
171,26,female,2,own,little,rendah,0,1,0
172,34,female,3,own,little,rendah,0,1,0
173,33,male,2,own,little,rendah,1,1,0
174,26,male,2,own,little,tinggi,1,1,0
176,42,male,2,own,little,rendah,1,1,0
177,52,male,2,own,quite rich,rendah,1,1,2
178,31,male,3,rent,little,rendah,1,2,0
179,65,male,2,own,little,rendah,1,1,0
180,28,male,2,own,little,tinggi,1,1,0
181,30,male,3,own,little,tinggi,1,1,0
183,50,male,2,own,rich,tinggi,1,1,3
184,36,male,2,own,little,rendah,1,1,0
185,31,male,2,own,little,rendah,1,1,0
186,74,female,3,free,little,tinggi,0,0,0
187,68,male,0,free,little,rendah,1,0,0
188,20,male,2,own,moderate,rendah,1,1,1
189,33,female,2,own,little,tinggi,0,1,0
190,54,male,3,own,rich,tinggi,1,1,3
191,34,male,1,free,moderate,tinggi,1,0,1
192,36,male,2,own,little,tinggi,1,1,0
193,29,male,2,rent,little,rendah,1,2,0
194,21,male,2,rent,moderate,rendah,1,2,1
195,34,female,3,own,little,rendah,0,1,0
196,28,female,2,own,little,rendah,0,1,0
197,27,female,2,rent,moderate,rendah,0,2,1
199,40,male,3,own,little,tinggi,1,1,0
200,52,male,2,own,quite rich,rendah,1,1,2
201,27,male,1,own,little,rendah,1,1,0
202,26,male,2,own,little,tinggi,1,1,0
203,21,male,2,rent,little,rendah,1,2,0
204,38,male,1,own,little,rendah,1,1,0
205,38,male,3,free,little,tinggi,1,0,0
206,43,male,2,own,little,rendah,1,1,0
207,26,male,2,own,little,rendah,1,1,0
208,21,male,1,own,little,tinggi,1,1,0
209,55,male,2,own,rich,rendah,1,1,3
212,50,male,2,own,little,tinggi,1,1,0
213,66,male,3,own,little,rendah,1,1,0
216,31,male,2,own,little,rendah,1,1,0
217,23,male,2,own,little,tinggi,1,1,0
218,24,male,1,rent,little,rendah,1,2,0
219,64,female,2,own,little,rendah,0,1,0
220,26,male,1,own,little,rendah,1,1,0
222,30,male,2,own,little,rendah,1,1,0
224,30,male,2,own,little,tinggi,1,1,0
225,27,male,2,own,little,rendah,1,1,0
226,27,male,2,own,rich,tinggi,1,1,3
227,53,male,3,free,little,tinggi,1,0,0
228,22,male,2,own,little,rendah,1,1,0
229,22,male,2,free,little,tinggi,1,0,0
230,26,male,2,own,little,tinggi,1,1,0
231,51,male,1,free,quite rich,rendah,1,0,2
232,35,male,2,own,moderate,rendah,1,1,1
233,25,male,1,own,little,rendah,1,1,0
234,42,male,1,own,little,rendah,1,1,0
235,30,male,3,own,little,rendah,1,1,0
237,61,male,1,rent,moderate,rendah,1,2,1
238,35,female,2,own,little,rendah,0,1,0
239,39,male,2,own,little,rendah,1,1,0
241,51,male,2,own,little,rendah,1,1,0
242,24,male,2,free,little,tinggi,1,0,0
243,27,female,2,own,little,rendah,0,1,0
244,35,female,1,own,quite rich,tinggi,0,1,2
245,25,male,2,own,little,rendah,1,1,0
246,52,male,2,own,little,rendah,1,1,0
247,35,male,2,rent,moderate,rendah,1,2,1
248,26,male,2,own,little,rendah,1,1,0
249,22,female,2,rent,little,rendah,0,2,0
250,39,female,1,own,rich,rendah,0,1,3
251,46,female,1,own,little,rendah,0,1,0
252,24,female,2,own,little,rendah,0,1,0
253,35,male,2,own,moderate,tinggi,1,1,1
256,35,male,1,own,little,rendah,1,1,0
257,29,male,2,free,little,rendah,1,0,0
258,23,female,2,own,moderate,tinggi,0,1,1
259,57,female,1,own,moderate,rendah,0,1,1
260,27,male,2,own,little,rendah,1,1,0
261,55,female,2,own,little,rendah,0,1,0
262,36,male,3,free,little,tinggi,1,0,0
263,57,female,1,free,little,rendah,0,0,0
264,32,male,1,own,little,rendah,1,1,0
265,37,male,2,own,little,rendah,1,1,0
267,38,female,2,own,little,rendah,0,1,0
268,45,male,3,own,little,tinggi,1,1,0
271,37,female,2,rent,quite rich,rendah,0,2,2
273,28,male,2,own,little,rendah,1,1,0
274,34,male,1,own,little,tinggi,1,1,0
275,32,male,2,own,little,rendah,1,1,0
276,26,female,2,own,little,rendah,0,1,0
278,32,female,2,own,little,tinggi,0,1,0
279,29,male,3,rent,moderate,rendah,1,2,1
280,23,male,2,rent,rich,tinggi,1,2,3
281,50,male,2,own,little,rendah,1,1,0
284,37,male,2,own,moderate,tinggi,1,1,1
285,35,female,1,own,little,tinggi,0,1,0
286,26,male,2,own,little,tinggi,1,1,0
287,31,male,3,free,moderate,tinggi,1,0,1
288,49,female,2,own,little,rendah,0,1,0
289,48,male,2,own,little,rendah,1,1,0
290,26,male,2,own,little,rendah,1,1,0
291,28,male,3,rent,little,tinggi,1,2,0
292,44,female,3,free,little,tinggi,0,0,0
293,56,male,2,free,little,tinggi,1,0,0
295,26,female,2,own,little,tinggi,0,1,0
298,43,male,2,own,little,rendah,1,1,0
299,32,male,2,own,rich,rendah,1,1,3
300,54,female,0,own,little,rendah,0,1,0
301,42,female,2,own,little,tinggi,0,1,0
303,49,male,2,own,little,rendah,1,1,0
